Year,Inflow [kt],Outflow [kt],Stocks [kg per person]
1950,57351.6189,3015.791856,588.3955781
1951,46634.4052,3261.883648,596.7596469
1952,47294.75281,3522.287033,605.1011735
1953,54149.34294,3797.258108,615.3196435
1954,49631.94876,4087.968799,623.8974741
1955,61746.43304,4393.701599,635.8955666
1956,63448.09169,4716.361045,648.1035851
1957,64397.06499,5055.438055,660.2878465
1958,58477.59464,5411.194339,670.4212993
1959,68166.10046,5783.104802,683.10856
1960,79261.85279,6172.837507,698.6894018
1961,76866.95734,6580.665932,713.211966
1962,75471.9506,7006.007893,726.9818067
1963,80062.75779,7448.979978,741.7043668
1964,91102.25502,7910.27121,759.1606629
1965,93108.3486,8390.764454,776.7669877
1966,93606.74962,8889.989387,794.0983605
1967,94404.61494,9408.108774,811.2380368
1968,98934.56363,9945.323873,829.1998964
1969,108636.1674,10502.34965,849.3551065
1970,112651.9045,11079.51218,870.1260482
1971,107216.5019,11676.71308,888.9818968
1972,160991.3441,12292.96043,909.9164477
1973,178203.3968,12931.65747,934.2670083
1974,178312.7915,13592.71801,957.9146312
1975,162966.3383,14274.8817,977.0755301
1976,170991.3505,14977.36239,997.4945782
1977,170365.7098,15702.68874,1016.938903
1978,182204.5214,16450.79399,1038.009377
1979,190195.834,17223.52898,1059.595461
1980,182564.0245,18021.40751,1078.173639
1981,177856.8153,18844.12735,1094.821095
1982,164026.5409,19692.98328,1107.030089
1983,167060.9595,20567.48004,1119.186433
1984,175221.7121,21470.85363,1132.501834
1985,177691.0712,22405.07589,1145.256956
1986,178315.3465,23370.83636,1156.906109
1987,183997.1222,24369.44552,1168.600162
1988,194515.4617,25403.16304,1181.489836
1989,196172.9364,26474.44335,1194.107154
1990,193616.8509,27584.43775,1205.971884
1991,185612.6144,28734.47311,1215.81872
1992,185688.1687,29926.26081,1224.987039
1993,186522.8714,31161.8819,1234.652913
1994,186397.1119,32443.70544,1244.091353
1995,192732.3826,33772.96458,1254.246798
1996,193353.455,35152.58032,1264.056904
1997,203277.9295,36583.81531,1275.00191
1998,200107.6678,38069.54297,1285.038338
1999,204173.8296,39610.06112,1295.433234
2000,218171.0056,41207.6948,1307.565986
2001,219664.162,42865.33757,1319.685768
2002,231017.6959,44582.48834,1333.119278
2003,251041.3938,46361.29614,1349.151114
2004,270936.8207,48203.55716,1367.604155
2005,294048.1281,50110.20278,1388.861153
2006,318555.2307,52081.95392,1413.005366
2007,345188.5505,54119.75106,1440.210237
2008,336393.7947,56224.1107,1464.917346
2009,340751.5392,58392.30027,1489.362265
2010,355922.8234,60625.1677,1514.949293
2011,370298.0733,62922.99765,1541.659054
2012,385534.7584,65284.73706,1569.456528
2013,401819.4076,67709.98429,1598.29059
2014,415377.6426,70197.43269,1628.093927
2015,428182.8388,72746.15951,1658.783358
2016,440254.7524,75354.94462,1690.260643
2017,451590.4801,78022.41429,1722.41379
2018,462003.8671,80747.07524,1755.118852
2019,471421.3409,83527.35301,1788.242187
2020,479749.74,86361.60528,1821.643113
2021,486854.4665,89248.15274,1855.176861
2022,492710.5644,92185.30148,1888.697721
2023,497404.3629,95171.36906,1922.062261
2024,500990.7865,98204.70329,1955.132472
2025,503485.0811,101283.7013,1987.77875
2026,504857.5828,104406.8141,2019.882571
2027,505178.5981,107572.549,2051.338796
2028,504635.6498,110779.4858,2082.057511
2029,503370.4731,114026.2998,2111.965371
2030,501494.0446,117311.7622,2141.006423
2031,499096.6544,120634.7419,2169.142409
2032,496292.7313,123994.2068,2196.352584
2033,493238.9064,127389.2246,2222.633082
2034,490065.8853,130818.9638,2247.995912
2035,486901.2746,134282.6902,2272.467627
2036,483880.4028,137779.764,2296.087768
2037,481098.7265,141309.6382,2318.907143
2038,478617.8726,144871.8518,2340.986004
2039,476504.4264,148466.023,2362.392214
2040,474838.8695,152091.8457,2383.199427
2041,473716.7128,155749.0864,2403.485353
2042,473186.1233,159437.5821,2423.330142
2043,473242.3765,163157.2337,2442.814897
2044,473895.486,166907.9989,2462.02037
2045,475163.6454,170689.89,2481.025818
2046,477068.3706,174502.9723,2499.908039
2047,479611.4828,178347.3628,2518.740587
2048,482768.0333,182223.2252,2537.593138
2049,486518.3504,186130.7638,2556.531014
2050,490839.0227,190070.2224,2575.614835
