source,target,type,value
Soda Ash,FG Batch,Batch preparation,18.77605048
Silica,FG Batch,Batch preparation,53.21975576
Limestone,FG Batch,Batch preparation,11.78844401
CG Cullet,CG Batch,Batch preparation,27.59762384
Soda Ash,CG Batch,Batch preparation,13.58776386
Silica,CG Batch,Batch preparation,38.51382241
Limestone,CG Batch,Batch preparation,8.531005688
CG Batch,Int CG,Melting,87.61150424
CG Batch,CG Process Emissions,Melting,9.379861976
FG Batch,Int FG,Melting,83.32097263
FG Batch,FG Process Emissions,Melting,12.96142351
Int CG,Final CG,Checking,78.85035382
Int FG,Final FG,Checking,70.82282674
Int CG,CG Batch,Checking,8.761150424
Int FG,FG Batch,Checking,12.49814589
Final CG,Beverages,End-Use,59.13776536
Final CG,Food,End-Use,15.77007076
Final CG,Other CG,End-Use,3.942517691
Final FG,Buildings,End-Use,58.78294619
Final FG,Automotive,End-Use,4.249369604
Final FG,Other FG,End-Use,7.790510941
Beverages,CG Cullet,End-of-Life,20.69821788
Food,CG Cullet,End-of-Life,5.519524767
Other CG,CG Cullet,End-of-Life,1.379881192
Beverages,Landfill,End-of-Life,38.43954749
Food,Landfill,End-of-Life,10.250546
Other CG,Landfill,End-of-Life,2.562636499
Buildings,Landfill,End-of-Life,20.4
Automotive,Landfill,End-of-Life,0.773333333
